numero,Vastaaja,Yliopisto/tutkimuslaitos,Vastaus,Varmuus,Kommentti,Profiili ja vastaukset
10,Tom Berglund,Hanken,Samaa mieltä,8,,Profiili ja vastaukset
10,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Samaa mieltä,7,,Profiili ja vastaukset
10,Essi Eerola,VATT,Ei mielipidettä,NA,,Profiili ja vastaukset
10,Bengt Holmström,MIT,Epävarma,4,Riippuu siita miten veroneutraalisuus varmistetaan.,Profiili ja vastaukset
10,Anni Huhtala,VATT,Epävarma,5,Odotan mielelläni käynnissä olevan kokeilun tuloksia työn tarjontavaikutuksista.,Profiili ja vastaukset
10,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,4,,Profiili ja vastaukset
10,Esa Jokivuolle,Suomen Pankki,Epävarma,5,,Profiili ja vastaukset
10,Juha Junttila,Jyvaskylan yliopisto,Samaa mieltä,9,,Profiili ja vastaukset
10,John M. Juselius,Suomen Pankki,Samaa mieltä,5,I would make it more socially acceptable not to work and make it harder to incentivize job seeking.,Profiili ja vastaukset
10,Markus Jäntti,Tukholman yliopisto,Epävarma,NA,Tulovaikutus johtaisi työn tarjonnan vähenemiseen (tai ei ainakaan sen kasvamiseen). Toisaalta vakituista työpaikkaa vailla olevien työssäkäynti saattaisi lisääntyä. Vaikea arvioida mikä nettovaikutus olisi.,Profiili ja vastaukset
10,Panu Kalmi,Vaasan yliopisto,Samaa mieltä,NA,,Profiili ja vastaukset
10,Seppo Kari,VATT,Eri mieltä,7,Noin matala perustulo ei varmaankaan vaikuttaisi juuri haitallisesti. Se poistaisi jäykkyyksiä jotka johtuvat sosiaalietuuksien monimutkaisista säännöksistä ja voisi olla jopa työn tarjontaa vahvistava.,Profiili ja vastaukset
10,Karlo Kauko,Suomen Pankki,Eri mieltä,NA,"Periaatteessa perustulo voisi vähentää työn tarjontaa, mutta tuskin vielä noin pienellä summalla olisi paljonkaan vaikutusta.",Profiili ja vastaukset
10,Jaakko Kiander,,Vahvasti samaa mieltä,8,Perustulo johtaisi marginaaliverojen kiristymiseen ja samalla joidenkin kohdalla vapaa-aika alkaisi houkutella nykyistä enemmän,Profiili ja vastaukset
10,Juha Kilponen,,Vahvasti samaa mieltä,8,,Profiili ja vastaukset
10,Iikka Korhonen,Suomen Pankki,Ei mielipidettä,10,,Profiili ja vastaukset
10,Pekka J. Korhonen,,Eri mieltä,7,Hyvä uudistus ja poistaisi monta epäkohtaa mm. kannustinloukut.,Profiili ja vastaukset
10,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,NA,,Profiili ja vastaukset
10,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Vahvasti eri mieltä,4,"Kysymykseen on vaikea vastata, koska siinä määritelty perustulo on mielestäni mahdoton toteuttaa. Siinä esitetty ajatus siitä, että 560 euroa olisi kaikille, myös työssä käyville tuon suuruisena, ja että se olisi samalla kustannusneutraali tuntuvat mahdottomilta toteuttaa yhtä aikaa. Jos perustulo verotettaisiin pois tai osittain tulojen kasvaessa (jolloin työssäkäyvät eivät saa 560 euroa käteen), voisi tämä jollain tavalla olla kustannusneutraali, mutta tämäkin riippuu paljon siitä mitä tapahtuu muille sosiaalituille. Jos taas muu sosiaaliturva muuttuu jotenkin ennalta määrittelemättömällä tavalla, vaikuttaa se potentiaalisiin työllisyysvaikutuksiin. Yksinkertainen vastaus on myös, että joidenkin ryhmien työllisyyttä perustulo vähenee (kun saa vastikkeetonta turvaa), joiden lisää (kun on helpompi ottaa tilapäisiä töitä vastaan).Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Kaisa Kotakorpi,VATT; Turun yliopisto,Eri mieltä,NA,,Profiili ja vastaukset
10,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Samaa mieltä,8,"Osa väestöstä tyytyisi perustuloon, jos päälle saisi vielä tarvittaessa muita tukia. Jos muita tukia ei saisi, työvoiman tarjonta voisi kasvaa. On oletettavaa, että ainakaan pääkaupunkiseudolla ei elettäisi 560 eurolla, joten kysymys implikoi muiden tukien olemassaoloa.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Klaus Kultti,helsingin yliopisto,Epävarma,10,,Profiili ja vastaukset
10,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Eri mieltä,5,Uskon että kannustinloukkujen purkaminen voisi kasvattaa työn tarjontaa. Epäilen kuitenkin vahvasti onko väitteessä esitetty malli käytännössä toteutettavissa.,Profiili ja vastaukset
10,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Samaa mieltä,6,"Riippuu pitkälti lisätulojen rajaveroasteesta, joka luultavasti olisi huomattavan korkea.",Profiili ja vastaukset
10,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Epävarma,9,,Profiili ja vastaukset
10,Mika Maliranta,Etla / Jyväskylän yliopisto,Samaa mieltä,3,"Vaikea sanoa varmasti, piru on yksityiskohdissa. Riippuu paljon siitä, miten perustulo sovitetaan muiden etuuksien ja verotuksen kanssa. Ymmärrän järjestelmän viehätyksen. Olen kuitenkin hyvin varma, että se vähentäisi työn tarjontaa, ellei siitä tehtäisi erittäin julmaa kaikkein köyhimpiä kohtaan. Sitä Suomessa tuskin juuri kukaan haluaisi.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Topi Miettinen,Svenska Handelshögskolan,Eri mieltä,3,"Kansalaisten hyvinvoinnin kannalta (jota ymmärtääkseni talouspolitiikalla pyritään edistämään) on tärkeää, että jokainen voi päättää itse, kuinka paljon työtä haluaa työmarkkinoilla tarjota, ja ymmärtää tämän päätöksen lyhyen ja pitkän aikavälin vaikutukset omaan ansiotasoon. Lisäksi tehokkuuden vuoksi, näiden ansiotasovaikutusten pitäisi heijastella päätöksen yhteiskunnallisia kustannuksia. Perustulon pitäisi edistää tällaista päämäärää. Tämä edellyttää tietysti sitä, että työmarkkinat ovat myös sillä tavalla toimivat, että työtä tarjoavalla on mahdollisuus päättää tarjoamansa työn määrästä. Jos kaikki tarjolla olevat työtehtävät edellyttävät vähintään 50 tunnin työviikkoa, tällainen “joko nolla tai viisikymmentä“-päätöksenteko yhdistettynä perustuloon saattaa hyvinkin johtaa työn tarjonnan supistumiseen. Hienoa, että perustuloa nyt kokeillaan. Suotavaa olisi ollut, että sitä olisi päätetty kokeilla paremmilla koeasetelmilla ja suunnitelmilla (joita oli tarjolla).Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Niku Määttänen,Etla,Samaa mieltä,6,Tällainen malli edellyttäisi verotuksen kiristämistä mikä puolestaan helposti vähentäisi työllisyyttä. Toisaalta pelkän vähimmäisturvan korvaaminen perustulolla ei poistaisi esimerkiksi ansiosidonnaiseen työttömyysturvaan liittyviä kannustinongelmia. Näytä lisääNäytä vähemmän,Profiili ja vastaukset
10,Katariina Nilsson Hakkala,Aalto yliopisto/ ETLA,Epävarma,NA,,Profiili ja vastaukset
10,Elias Oikarinen,Aalto-yliopisto,Eri mieltä,6,,Profiili ja vastaukset
10,Tapio Palokangas,Helsingin yliopisto,Samaa mieltä,NA,"Jos perustulo toteutetaan esitetyssä muodossa ja työmarkkinoiden osallistuminen jätetään kunkin omani valinnan varaan, niin lyhytnäköisillä ihmisillä on suuri kiusaus jättäytyä pitkäksi aikaa työmarkkinoiden ulkopuolelle.",Profiili ja vastaukset
10,Tuomas Pekkarinen,VATT,Epävarma,NA,Ei tutkittua tietoa.,Profiili ja vastaukset
10,Hannu Piekkola,Vaasan yliopisto,Eri mieltä,NA,Näillä lähtökohdilla ainakin negatiivinen tulovero ja sen verokertymä olisi ehkä suurempi kuin nykyisen jos marginaalivero on tasainen 45%. Voisi siis harkita mutta lisäksi tulee olla kannustimia töihin.,Profiili ja vastaukset
10,Jukka Pirttilä,Tampereen yliopisto,Samaa mieltä,7,Työttömyysturvan ehdoilla voidaan saada aikaan parempi työllisyys turvaa heikentämättä kuin perustulolla.,Profiili ja vastaukset
10,Matti Pohjola,Aalto-yliopisto kauppakorkeakoulu,Samaa mieltä,8,,Profiili ja vastaukset
10,Petri Rouvinen,"ETLA, Elinkeinoelämän tutkimuslaitos",Epävarma,7,"Kaikille vastikkeetta maksettavassa tulossa piilee epäilemättä vaaroja (Ehkä osa nykyisistä työttömyys- ja sosiaalietuuksista yhdistettynä jakauman alapäässä negatiiviseen tuloveroon olisi vaihtoehto?). Toisaalta nykyjärjestelmän korkeat ja joissain kohdin yli 100 % menevät marginaaliveroasteet ovat yhtä lailla ongelma, puhumattakaan järjestelmän monimutkaisuudesta niin hallinnon kuin kansalaisten näkökulmasta. Sikäli kun ainakin jollain asteella ollaan matkalla kohti “epätyypillisten“ työsuhteiden kasvavaa osuutta, kannatan perustulon kaltaisten ideoiden kokeilua. Tässä yhteydessä en ymmärrä, miksi tulo pitäisi olla universaali ja samansuuruinen kaikille? Eikö se voisi  esim. laskea muiden tulojen noustessa?Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Olli-Pekka Ruuskanen,Pellervon taloustutkimus,Eri mieltä,6,,Profiili ja vastaukset
10,Hannu Salonen,Turun yliopisto,Eri mieltä,6,,Profiili ja vastaukset
10,Rune Stenbacka,Svenska handelshögskolan,Eri mieltä,6,,Profiili ja vastaukset
10,Olli Tahvonen,Helsingin yliopisto,Ei vastannut,NA,,Profiili ja vastaukset
10,Juha Tervala,Helsingin yliopisto,Samaa mieltä,4,,Profiili ja vastaukset
10,Marko Terviö,Aalto-yliopisto,Eri mieltä,7,"Fiksusti toteutettuna juurii toisin päin: työssäkäynnistä tulee houkuttelevampaa jos matalapalkkaisten todelliset rajaveroasteet laskisivat.

Käytännön ongelma on siinä, että poliitikkojen suussa “perustulo“ on usein löperösti määritelty, ja pahimmillaan vain yksi härpäke lisää tukiviidakkoon. Toimiva perustulo vaatisi niin monitahoisen mullistuksen, että se saisi sote-uudistuksen näyttämään näpertelyltä. Ja huonosti viritetty perustulo olisi katastrofi.

Itse kallistun, ainakin alkuun, EITC-tyyppisen uudistuksen suuntaan.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Roope Uusitalo,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,8,"560€ niin pieni että ei heiluttaisi työn tarjontaa. Toisaalta 560€ usein alle esim. toimeentulotukiminimin ja pienempi kuin ansiosidonaniset etuudet. Ellei perustulo korvaa näitä, ei sillä ole varsinaista vaikutusta.",Profiili ja vastaukset
10,Jari Vainiomäki,Tampereen yliopisto,Epävarma,5,"Jos asiasta olisi varmuus niin perustulokokeiluja ei tarvittaisi. On olemassa ryhmiä joilla vaikutukset ovat erisuuntaisia, joten kokonaisvaikutus on epäselvä.",Profiili ja vastaukset
10,Hannu Vartiainen,Helsingin yliopisto,Eri mieltä,NA,,Profiili ja vastaukset
10,Vesa Vihriälä,Etla,Epävarma,4,"Vaikutus työn tarjontaa riippuu siitä, miten kuvatunlainen perusturva rahoitetaan ja miten muut tulonsiirrot reagoivat. 

Perustulon piiriin tulevilla henkilöillä työn tekemisen kannustimet paranevat ainakin johonkin tulotasoon saakka olettaen, että muut tulonsiirrot eivät muutu. Sen sijaan jo työssä olevilla henkilöillä, joiden tuloverotus kiristyy, kannustimet heikkenevät. Jos perusturva rahoitetaan muuten kuin tuoveroilla, työn tarjonnan kannustimien voi olettaa keskimäärin paranevan.

Nuorten perustulolla voi olla kielteinen vaikutus pidemmän ajan työlistymisedelltyksiin, mikäli se vähentää heidän kannustimiaan hankkia koulutusta ja työkokemusta. 

Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Jouko Vilmunen,Turun yliopisto/kauppakorkeakoulu,Samaa mieltä,5,"Ehkä kansalaistulo korvaisi nykyisen hyvin sekaisen tuki- ja tulonsiirtojärjestelmän, miikä puoltaisi jotenkin määritellen neutraalisuutta. Mutta työnteosta riippumatonta tuloa? Teoreettisesti on mahdollista, että työnteon kannusteet heikkenisivät, mutta onko mainittu summa riittävän suuri päätökselle olla osallistumasta työmarkkinoille?Näytä lisääNäytä vähemmän",Profiili ja vastaukset
10,Sami Vähämaa,Vaasan yliopisto,Epävarma,3,,Profiili ja vastaukset
10,Juuso Välimäki,Aalto yliopiston kauppakorkeakoulu,Ei mielipidettä,NA,,Profiili ja vastaukset
10,Eva Österbacka,Åbo Akademi,Eri mieltä,7,,Profiili ja vastaukset
11,Tom Berglund,Hanken,Vahvasti samaa mieltä,9,Työn antajalle edullisempaa palkata matalan tuottavuuden työtekijöitä.,Profiili ja vastaukset
11,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Samaa mieltä,6,,Profiili ja vastaukset
11,Essi Eerola,VATT,Ei mielipidettä,5,,Profiili ja vastaukset
11,Bengt Holmström,MIT,Samaa mieltä,7,,Profiili ja vastaukset
11,Anni Huhtala,VATT,Samaa mieltä,5,"Näin kai silloin kun työntekijän taidot ja tuottavuus yritetään saada kohtaamaan. Olen käsittänyt tutkijamme puheista niin, että myös työttömyysturvan soviteltu päiväraha on tätä muistuttava keino nykyisellään.",Profiili ja vastaukset
11,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,7,,Profiili ja vastaukset
11,Esa Jokivuolle,Suomen Pankki,Ei mielipidettä,NA,,Profiili ja vastaukset
11,Juha Junttila,Jyvaskylan yliopisto,Eri mieltä,7,,Profiili ja vastaukset
11,John M. Juselius,Suomen Pankki,Samaa mieltä,4,,Profiili ja vastaukset
11,Markus Jäntti,Tukholman yliopisto,Epävarma,NA,"Jos pätevä tässä tarkoittaa “yksi mahdollinen“ keino, niin varmaankin on.",Profiili ja vastaukset
11,Panu Kalmi,Vaasan yliopisto,Samaa mieltä,NA,,Profiili ja vastaukset
11,Seppo Kari,VATT,Epävarma,9,"Näin periaatteessa pitäisi olla, mutta näyttöä tehokkuudesta ei kai juuri ole.",Profiili ja vastaukset
11,Karlo Kauko,Suomen Pankki,Samaa mieltä,4,,Profiili ja vastaukset
